date;FBA;FBS;Eşleşme;PTF;Blok Alış Eşleşme;Blok Satış Eşleşme;YTP;Ritm;day;hour
2023-01-01 00:00:00;15679,8;10903,5;16878,2;3999,99;1799,8;4496,6;25647;789,45;1;0
2023-01-01 01:00:00;14978,5;10080,7;16410,8;3500,0;1796,1;5016,6;24362;815,92;1;1
2023-01-01 02:00:00;14970,0;10008,8;16447,2;2700,01;1795,0;5115,6;22943;879,82;1;2
2023-01-01 03:00:00;14783,0;9859,1;16202,5;3500,0;1797,9;4994,3;21996;960,92;1;3
2023-01-01 04:00:00;14627,3;9598,3;15813,2;3999,98;1795,8;4624,3;21453;1041,51;1;4
2023-01-01 05:00:00;14554,1;9688,4;15721,9;3999,98;1795,0;4427,3;21354;1124,83;1;5
2023-01-01 06:00:00;15476,0;10660,9;16674,7;3921,99;1666,4;4427,3;21588;1237,75;1;6
2023-01-01 07:00:00;15554,5;10779,0;16797,6;3750,01;1515,3;4431,3;21770;1351,19;1;7
2023-01-01 08:00:00;16283,7;11238,7;17187,5;2500,0;1229,0;4409,2;22387;1414,87;1;8
2023-01-01 09:00:00;17113,7;12407,2;18068,6;1893,24;1405,0;4172,5;24039;1461,71;1;9
2023-01-01 10:00:00;17948,2;13578,7;19137,9;1941,42;1944,9;4020,5;25801;1333,19;1;10
2023-01-01 11:00:00;18363,4;14428,0;19618,3;1499,98;1962,8;3966,5;27426;1231,38;1;11
2023-01-01 12:00:00;18496,1;14864,0;19709,9;1499,97;1992,9;3686,5;27955;1184,71;1;12
2023-01-01 13:00:00;18395,9;14599,6;19574,3;1499,98;1989,7;3686,5;28425;1122,81;1;13
2023-01-01 14:00:00;18125,2;13987,7;19351,6;1893,24;1982,4;3918,5;28506;1084,65;1;14
2023-01-01 15:00:00;18056,9;12935,0;19408,1;1500,0;1980,6;5225,5;28428;1098,49;1;15
2023-01-01 16:00:00;19105,0;11399,3;20774,7;1548,86;1974,1;8018,8;29040;1144,14;1;16
2023-01-01 17:00:00;20410,9;9969,6;20092,0;4200,0;1981,3;8405,8;30321;1264,6;1;17
2023-01-01 18:00:00;20969,4;10016,0;20151,3;4200,0;1942,5;8412,8;30945;1507,76;1;18
2023-01-01 19:00:00;20642,6;10036,7;20158,5;4200,0;1942,6;8403,8;30531;1660,99;1;19
2023-01-01 20:00:00;20580,4;10189,4;20068,1;4200,0;1855,7;8080,8;29917;1628,48;1;20
2023-01-01 21:00:00;19768,7;10114,3;19895,4;4200,0;1553,9;7537,8;29265;1614,27;1;21
2023-01-01 22:00:00;17789,7;10219,4;19175,7;3441,42;1971,8;6523,8;28828;1575,52;1;22
2023-01-01 23:00:00;16675,0;10283,0;18055,7;2314,99;1998,9;5846,8;27714;1457,71;1;23
2023-01-02 00:00:00;15394,1;10716,0;16287,3;3532,36;903,2;4035,1;28541;1370,08;2;0
2023-01-02 01:00:00;15029,6;9830,5;16107,1;3750,0;1112,4;4605,1;26949;1308,0;2;1
2023-01-02 02:00:00;14991,9;9730,6;16095,9;3500,01;1107,2;4757,1;25977;1265,66;2;2
2023-01-02 03:00:00;14885,3;9708,5;16004,9;2750,01;1110,5;5066,1;25628;1227,48;2;3
2023-01-02 04:00:00;15091,9;9540,3;16235,0;2441,42;1117,2;5529,1;25707;1169,68;2;4
2023-01-02 05:00:00;15445,6;9650,5;16627,8;1625,78;1115,0;5882,1;26244;1127,0;2;5
2023-01-02 06:00:00;17710,1;10502,0;18873,0;3425,43;1127,9;7012,1;27541;1093,03;2;6
2023-01-02 07:00:00;20235,0;10184,4;21107,1;3999,98;1131,8;8731,1;30568;1074,11;2;7
2023-01-02 08:00:00;24795,8;9840,3;23468,4;4200,0;1051,0;11802,7;35225;1075,05;2;8
2023-01-02 09:00:00;26332,3;10485,4;25289,5;4200,0;1161,1;12630,7;38486;1042,83;2;9
2023-01-02 10:00:00;25767,0;11465,9;26388,1;4050,0;1261,8;12872,7;39700;907,98;2;10
2023-01-02 11:00:00;25273,4;12016,1;26151,7;3420,01;1340,4;12259,4;40322;822,35;2;11
2023-01-02 12:00:00;24051,5;12380,9;25001,5;3202,56;1311,2;10325,4;39223;778,03;2;12
2023-01-02 13:00:00;24321,5;12168,8;25281,8;3420,0;1293,3;10323,4;38892;752,54;2;13
2023-01-02 14:00:00;24756,5;11860,6;26014,8;3050,0;1325,6;12534,4;38967;734,93;2;14
