date;saat;toplam;dogalgaz;ruzgar;linyit;ithalKomur;barajli;akarsu;diger;organizationId;organizationShortName;Diğer Veriş;mcp;smp;KUDÜP Değişim;Gaz KUDÜP Değişim;Rüzgar KUDÜP Değişim;Linyit KUDÜP Değişim;İthal Kömür KUDÜP Değişim;Barajlı KUDÜP Değişim;Akarsu KUDÜP Değişim;Diğer KUDÜP Değişim;Veriş Değişim;Gaz Veriş Değişim;Rüzgar Veriş Değişim;Linyit Veriş Değişim;İthal Kömür Veriş Değişim;Barajlı Veriş Değişim;Akarsu Veriş Değişim;Diğer Veriş Değişim
2023-07-31 00:00:00;00:00;7254;1130;1;896;0;5220;6;0;195;EÜAŞ;0,0;2079,08;2276;0;0;0;0;0;0;0;0;204;-6;2;78;0;129;1;0
2023-07-31 01:00:00;01:00;6341;1245;1;896;0;4192;6;0;195;EÜAŞ;0,0;2079,08;2149;0;0;0;0;0;0;0;0;-99;-126;2;43;0;-19;1;0
2023-07-31 02:00:00;02:00;5585;1500;1;896;0;3181;6;0;195;EÜAŞ;0,0;1950,0;2050;-80;0;0;-80;0;0;0;0;-47;-141;1;127;0;-35;1;0
2023-07-31 03:00:00;03:00;5309;1691;1;896;0;2714;6;0;195;EÜAŞ;0,0;2000,0;2050;-80;0;0;-80;0;0;0;0;-71;-90;1;25;0;-9;1;0
2023-07-31 04:00:00;04:00;4960;1702;1;896;0;2354;6;0;195;EÜAŞ;0,0;1837,07;1948;-80;0;0;-80;0;0;0;0;67;-59;2;113;0;8;1;0
2023-07-31 05:00:00;05:00;4409;1702;1;896;0;1803;6;0;195;EÜAŞ;0,0;1650,0;1898;-80;0;0;-80;0;0;0;0;259;103;2;106;0;45;1;0
2023-07-31 06:00:00;06:00;3302;1240;1;896;0;1158;6;0;195;EÜAŞ;0,0;1837,08;1898;-79;0;0;-80;0;0;0;0;293;188;1;94;0;7;1;0
2023-07-31 07:00:00;07:00;3613;1534;1;896;0;1175;6;0;195;EÜAŞ;0,0;1869,0;1869;-79;0;0;-80;0;0;0;0;273;280;1;-15;0;4;1;0
2023-07-31 08:00:00;08:00;4189;1672;1;896;0;1613;6;0;195;EÜAŞ;0,0;2499,99;2600;-126;0;0;-126;0;0;0;0;521;581;1;33;0;-96;1;0
2023-07-31 09:00:00;09:00;4376;1642;2;896;0;1829;6;0;195;EÜAŞ;0,0;2424,99;2569;-206;0;0;-206;0;0;0;0;683;642;1;87;0;-48;1;0
2023-07-31 10:00:00;10:00;4734;1623;2;886;0;2216;6;0;195;EÜAŞ;0,0;2209,7;2230;-201;0;0;-201;0;0;0;0;596;631;1;91;0;-129;1;0
2023-07-31 11:00:00;11:00;5185;1606;2;876;0;2694;6;0;195;EÜAŞ;0,0;2449,98;2621;-189;0;0;-196;0;7;0;0;685;631;3;108;0;-59;1;0
2023-07-31 12:00:00;12:00;6336;1600;2;868;0;3859;6;0;195;EÜAŞ;0,0;1781,0;1781;-176;0;0;-193;0;17;0;0;545;696;2;81;0;-235;1;0
2023-07-31 13:00:00;13:00;6545;1580;1;865;0;4092;6;0;195;EÜAŞ;0,0;1876,07;1900;-143;0;0;-190;0;47;0;0;780;762;4;-39;0;50;1;0
2023-07-31 14:00:00;14:00;6609;1580;2;865;0;4155;6;0;195;EÜAŞ;0,0;2225,0;2425;-113;0;0;-190;0;77;0;0;757;751;3;-6;0;7;1;0
2023-07-31 15:00:00;15:00;6689;1574;3;865;0;4240;6;0;195;EÜAŞ;0,0;2340,01;2540;-301;-108;0;-190;0;-3;0;0;980;855;1;63;0;58;1;0
2023-07-31 16:00:00;16:00;6856;1574;3;865;0;4407;6;0;195;EÜAŞ;0,0;2200,0;2508;-321;-108;0;-240;0;27;0;0;1052;800;0;147;0;101;1;0
2023-07-31 17:00:00;17:00;7446;1580;3;865;0;4991;6;0;195;EÜAŞ;0,0;2248,9;2563;-193;0;0;-190;0;-3;0;0;633;530;2;95;0;3;1;0
2023-07-31 18:00:00;18:00;7159;1593;3;865;0;4691;6;0;195;EÜAŞ;0,0;2449,99;2650;-198;0;0;-215;0;17;0;0;351;223;2;114;0;9;2;0
2023-07-31 19:00:00;19:00;6822;1600;2;875;0;4338;6;0;195;EÜAŞ;0,0;2599,99;2698;-168;0;0;-225;0;57;0;0;911;195;2;90;0;622;1;0
2023-07-31 20:00:00;20:00;7409;1623;1;885;0;4893;6;0;195;EÜAŞ;0,0;2597,77;2700;-207;0;0;-225;0;17;0;0;1418;165;0;73;0;1178;1;0
2023-07-31 21:00:00;21:00;7832;1636;1;885;0;5303;6;0;195;EÜAŞ;0,0;2575,0;2695;-113;0;0;-200;0;87;0;0;1091;166;-1;53;0;872;1;0
2023-07-31 22:00:00;22:00;8503;1644;1;893;0;5958;6;0;195;EÜAŞ;0,0;2233,41;2283;-161;0;0;-203;0;42;0;0;168;165;-1;-10;0;14;0;0
2023-07-31 23:00:00;23:00;8134;1661;1;893;0;5572;6;0;195;EÜAŞ;0,0;2090,01;2249;-161;0;0;-203;0;42;0;0;195;162;-1;-80;0;112;1;0
2023-07-31 00:00:00;00:00;1150;546;132;255;0;188;28;0;282;Enerjisa;0,0;2079,08;2276;385;419;-30;0;0;0;-4;0;41;9;-37;50;0;15;2;0
2023-07-31 01:00:00;01:00;1088;499;117;255;0;188;28;0;282;Enerjisa;0,0;2079,08;2149;437;472;-31;0;0;0;-4;0;32;5;-27;50;0;2;1;0
2023-07-31 02:00:00;02:00;936;460;112;256;0;78;28;0;282;Enerjisa;0,0;1950,0;2050;315;427;-48;0;0;-63;0;0;38;-7;-2;47;0;7;-5;0
2023-07-31 03:00:00;03:00;1050;580;108;258;0;78;24;0;282;Enerjisa;0,0;2000,0;2050;195;307;-48;0;0;-63;0;0;52;-1;-3;49;0;10;-1;0
2023-07-31 04:00:00;04:00;1277;814;102;258;0;78;24;0;282;Enerjisa;0,0;1837,07;1948;86;70;-45;0;0;61;0;0;78;34;-7;50;0;3;-1;0
2023-07-31 05:00:00;05:00;1138;619;98;257;0;140;24;0;282;Enerjisa;0,0;1650,0;1898;-40;0;-40;0;0;0;0;0;94;36;-6;51;0;13;0;0
2023-07-31 06:00:00;06:00;1418;900;96;256;0;140;24;0;282;Enerjisa;0,0;1837,08;1898;-20;19;-39;0;0;0;0;0;48;-2;-12;50;0;14;-1;0
2023-07-31 07:00:00;07:00;1729;838;92;256;0;448;93;0;282;Enerjisa;0,0;1869,0;1869;-29;133;-29;0;0;-133;0;0;-40;18;-13;50;0;-71;-23;0
2023-07-31 08:00:00;08:00;1732;975;91;256;0;315;93;0;282;Enerjisa;0,0;2499,99;2600;-42;0;-42;0;0;0;0;0;14;14;3;50;0;-31;-22;0
2023-07-31 09:00:00;09:00;1744;976;104;254;0;315;93;0;282;Enerjisa;0,0;2424,99;2569;-36;0;-36;0;0;0;0;0;-7;10;31;46;0;-77;-18;0
2023-07-31 10:00:00;10:00;1767;977;125;255;0;315;93;0;282;Enerjisa;0,0;2209,7;2230;-32;0;-32;0;0;0;0;0;20;2;25;46;0;-40;-13;0
2023-07-31 11:00:00;11:00;1419;978;146;255;0;15;24;0;282;Enerjisa;0,0;2449,98;2621;-33;0;-33;0;0;0;0;0;98;6;32;43;0;12;3;0
2023-07-31 12:00:00;12:00;1039;584;161;254;0;15;24;0;282;Enerjisa;0,0;1781,0;1781;78;94;-16;0;0;0;0;0;55;9;4;42;0;0;-1;0
2023-07-31 13:00:00;13:00;1083;593;169;251;0;15;54;0;282;Enerjisa;0,0;1876,07;1900;298;308;-10;0;0;0;0;0;34;-15;0;44;0;0;6;0
2023-07-31 14:00:00;14:00;1431;972;171;248;0;15;24;0;282;Enerjisa;0,0;2225,0;2425;-11;0;-11;0;0;0;0;0;47;-4;0;42;0;6;2;0
2023-07-31 15:00:00;15:00;1426;967;171;248;0;15;24;0;282;Enerjisa;0,0;2340,01;2540;-8;0;-8;0;0;0;0;0;56;4;-3;42;0;15;-2;0
2023-07-31 16:00:00;16:00;1773;967;169;244;0;299;93;0;282;Enerjisa;0,0;2200,0;2508;45;0;-4;0;0;50;0;0;27;4;-2;47;0;-15;-6;0
2023-07-31 17:00:00;17:00;1768;965;165;244;0;299;93;0;282;Enerjisa;0,0;2248,9;2563;46;0;-4;0;0;50;0;0;68;4;-6;47;0;14;9;0
2023-07-31 18:00:00;18:00;1762;963;160;244;0;299;93;0;282;Enerjisa;0,0;2449,99;2650;45;0;-5;0;0;50;0;0;84;4;-9;48;0;38;3;0
2023-07-31 19:00:00;19:00;1752;963;149;245;0;299;93;0;282;Enerjisa;0,0;2599,99;2698;47;0;-2;0;0;50;0;0;115;11;-13;49;0;38;30;0
2023-07-31 20:00:00;20:00;1746;966;135;251;0;299;93;0;282;Enerjisa;0,0;2597,77;2700;47;0;-2;0;0;50;0;0;41;2;8;44;0;-14;2;0
2023-07-31 21:00:00;21:00;1735;968;121;252;0;299;93;0;282;Enerjisa;0,0;2575,0;2695;48;0;-2;0;0;50;0;0;-22;4;16;49;0;-78;-13;0
2023-07-31 22:00:00;22:00;1723;969;106;253;0;299;93;0;282;Enerjisa;0,0;2233,41;2283;47;0;-2;0;0;50;0;0;5;13;1;50;0;-41;-17;0
2023-07-31 23:00:00;23:00;1704;970;88;252;0;299;93;0;282;Enerjisa;0,0;2090,01;2249;47;0;-2;0;0;50;0;0;25;15;-1;53;0;-40;-1;0
2023-07-31 00:00:00;00:00;2471;0;0;0;2471;0;0;0;603;EREN;0,0;2079,08;2276;0;0;0;0;0;0;0;0;179;0;0;0;179;0;0;0
2023-07-31 01:00:00;01:00;2471;0;0;0;2471;0;0;0;603;EREN;0,0;2079,08;2149;0;0;0;0;0;0;0;0;169;0;0;0;169;0;0;0
2023-07-31 02:00:00;02:00;2471;0;0;0;2471;0;0;0;603;EREN;0,0;1950,0;2050;0;0;0;0;0;0;0;0;175;0;0;0;175;0;0;0
2023-07-31 03:00:00;03:00;2471;0;0;0;2471;0;0;0;603;EREN;0,0;2000,0;2050;0;0;0;0;0;0;0;0;175;0;0;0;175;0;0;0
2023-07-31 04:00:00;04:00;2455;0;0;0;2455;0;0;0;603;EREN;0,0;1837,07;1948;0;0;0;0;0;0;0;0;184;0;0;0;184;0;0;0
2023-07-31 05:00:00;05:00;2455;0;0;0;2455;0;0;0;603;EREN;0,0;1650,0;1898;0;0;0;0;0;0;0;0;179;0;0;0;179;0;0;0
2023-07-31 06:00:00;06:00;2455;0;0;0;2455;0;0;0;603;EREN;0,0;1837,08;1898;0;0;0;0;0;0;0;0;175;0;0;0;175;0;0;0
2023-07-31 07:00:00;07:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;1869,0;1869;0;0;0;0;0;0;0;0;174;0;0;0;174;0;0;0
2023-07-31 08:00:00;08:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2499,99;2600;0;0;0;0;0;0;0;0;168;0;0;0;168;0;0;0
2023-07-31 09:00:00;09:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2424,99;2569;0;0;0;0;0;0;0;0;174;0;0;0;174;0;0;0
2023-07-31 10:00:00;10:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2209,7;2230;0;0;0;0;0;0;0;0;-331;0;0;0;-331;0;0;0
2023-07-31 11:00:00;11:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2449,98;2621;0;0;0;0;0;0;0;0;161;0;0;0;161;0;0;0
2023-07-31 12:00:00;12:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;1781,0;1781;0;0;0;0;0;0;0;0;169;0;0;0;169;0;0;0
2023-07-31 13:00:00;13:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;1876,07;1900;0;0;0;0;0;0;0;0;175;0;0;0;175;0;0;0
2023-07-31 14:00:00;14:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2225,0;2425;0;0;0;0;0;0;0;0;176;0;0;0;176;0;0;0
2023-07-31 15:00:00;15:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2340,01;2540;0;0;0;0;0;0;0;0;175;0;0;0;175;0;0;0
2023-07-31 16:00:00;16:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2200,0;2508;0;0;0;0;0;0;0;0;176;0;0;0;176;0;0;0
2023-07-31 17:00:00;17:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2248,9;2563;0;0;0;0;0;0;0;0;177;0;0;0;177;0;0;0
2023-07-31 18:00:00;18:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2449,99;2650;0;0;0;0;0;0;0;0;178;0;0;0;178;0;0;0
2023-07-31 19:00:00;19:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2599,99;2698;0;0;0;0;0;0;0;0;178;0;0;0;178;0;0;0
2023-07-31 20:00:00;20:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2597,77;2700;0;0;0;0;0;0;0;0;176;0;0;0;176;0;0;0
2023-07-31 21:00:00;21:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2575,0;2695;0;0;0;0;0;0;0;0;171;0;0;0;171;0;0;0
2023-07-31 22:00:00;22:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2233,41;2283;0;0;0;0;0;0;0;0;172;0;0;0;172;0;0;0
2023-07-31 23:00:00;23:00;2439;0;0;0;2439;0;0;0;603;EREN;0,0;2090,01;2249;0;0;0;0;0;0;0;0;166;0;0;0;166;0;0;0
2023-07-31 00:00:00;00:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2079,08;2276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-07-31 01:00:00;01:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2079,08;2149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-07-31 02:00:00;02:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1950,0;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-07-31 03:00:00;03:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2000,0;2050;2;2;0;0;0;0;0;0;7;7;0;0;0;0;0;0
2023-07-31 04:00:00;04:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1837,07;1948;8;8;0;0;0;0;0;0;8;8;0;0;0;0;0;0
2023-07-31 05:00:00;05:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1650,0;1898;8;8;0;0;0;0;0;0;7;7;0;0;0;0;0;0
2023-07-31 06:00:00;06:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1837,08;1898;28;28;0;0;0;0;0;0;9;9;0;0;0;0;0;0
2023-07-31 07:00:00;07:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1869,0;1869;71;71;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0
2023-07-31 08:00:00;08:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2499,99;2600;356;356;0;0;0;0;0;0;29;29;0;0;0;0;0;0
2023-07-31 09:00:00;09:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2424,99;2569;756;756;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0
2023-07-31 10:00:00;10:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2209,7;2230;745;745;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-07-31 11:00:00;11:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2449,98;2621;732;732;0;0;0;0;0;0;3;3;0;0;0;0;0;0
2023-07-31 12:00:00;12:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1781,0;1781;500;500;0;0;0;0;0;0;9;9;0;0;0;0;0;0
2023-07-31 13:00:00;13:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;1876,07;1900;500;500;0;0;0;0;0;0;10;10;0;0;0;0;0;0
2023-07-31 14:00:00;14:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2225,0;2425;667;667;0;0;0;0;0;0;39;39;0;0;0;0;0;0
2023-07-31 15:00:00;15:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2340,01;2540;661;661;0;0;0;0;0;0;63;63;0;0;0;0;0;0
2023-07-31 16:00:00;16:00;0;0;0;0;0;0;0;0;11811;Gebze;0,0;2200,0;2508;669;669;0;0;0;0;0;0;57;57;0;0;0;0;0;0
