Tarih;time;toplam;dogalgaz;ruzgar;linyit;tasKomur;ithalKomur;fuelOil;jeotermal;barajli;nafta;biokutle;akarsu;diger
2024-01-01 00:00:00;00:00;26901,4;1834,27;914,83;4860,0;255,0;6695,3;3,5;1154,67;8429,98;0,0;972,58;1617,77;163,5
2024-01-01 01:00:00;01:00;25186,73;1647,48;1052,13;4750,0;255,0;6473,4;3,5;1156,07;7228,08;0,0;971,02;1486,55;163,5
2024-01-01 02:00:00;02:00;23654,93;1536,88;1197,99;4628,9;255,0;6079,4;3,5;1157,92;6251,08;0,0;967,38;1413,38;163,5
2024-01-01 03:00:00;03:00;22876,03;1534,68;1420,53;4675,0;255,0;6133,7;3,5;1160,53;5195,88;0,0;971,48;1362,23;163,5
2024-01-01 04:00:00;04:00;22379,77;1534,98;1665,99;4595,0;255,0;5914,1;3,5;1162,47;4816,08;0,0;970,08;1299,07;163,5
2024-01-01 05:00:00;05:00;22075,32;1535,78;1829,57;4355,0;255,0;5972,4;3,5;1163,18;4515,08;0,0;972,08;1310,23;163,5
2024-01-01 06:00:00;06:00;22348,44;1535,98;2018,79;4275,9;255,0;6134,0;3,5;1165,72;4381,28;0,0;972,88;1441,89;163,5
2024-01-01 07:00:00;07:00;23515,08;1620,08;2238,86;4523,0;255,0;6665,1;3,5;1164,56;4523,28;0,0;971,93;1384,09;165,68
2024-01-01 08:00:00;08:00;24768,03;1619,68;2437,79;4690,0;255,0;6805,4;1,0;1163,42;5138,68;0,0;974,03;1424,79;258,24
2024-01-01 09:00:00;09:00;26308,96;1619,38;2715,38;4741,0;255,0;7519,1;1,0;1157,88;5136,18;0,0;979,64;1578,53;605,87
2024-01-01 10:00:00;10:00;26381,3;1635,48;2861,49;4762,0;255,0;6920,6;1,5;1148,99;5325,18;0,0;986,49;1573,98;910,59
2024-01-01 11:00:00;11:00;26570,99;1648,65;2917,78;4633,0;255,0;5938,9;3,0;1140,8;6465,68;0,0;989,99;1490,67;1087,52
2024-01-01 12:00:00;12:00;25742,77;1659,0;3009,96;4678,0;255,0;5034,0;3,0;1132,4;6357,88;0,0;991,69;1519,14;1102,7
2024-01-01 13:00:00;13:00;26109,87;1656,73;3087,07;4697,0;255,0;5058,5;3,5;1119,36;6741,88;0,0;993,89;1452,46;1044,48
2024-01-01 14:00:00;14:00;26686,84;1655,5;3051,25;4508,0;255,0;5549,5;3,5;1108,9;7164,68;0,0;989,05;1478,88;922,58
